Message Size,Message Number,Latency (µs)
64,1,222
64,2,85
64,3,72
64,4,83
64,5,70
64,6,101
64,7,90
64,8,65
64,9,59
64,10,60
64,11,72
64,12,65
64,13,106
64,14,76
64,15,87
64,16,108
64,17,100
64,18,160
64,19,224
64,20,257
64,21,90
64,22,100
64,23,47
64,24,101
64,25,91
64,26,101
64,27,223
64,28,121
64,29,92
64,30,78
64,31,68
64,32,59
64,33,57
64,34,90
64,35,123
64,36,70
64,37,75
64,38,74
64,39,81
64,40,67
64,41,55
64,42,57
64,43,65
64,44,86
64,45,41
64,46,44
64,47,56
64,48,74
64,49,59
64,50,60
64,51,52
64,52,48
64,53,64
64,54,53
64,55,52
64,56,55
64,57,66
64,58,70
64,59,85
64,60,44
64,61,74
64,62,61
64,63,59
64,64,54
64,65,56
64,66,54
64,67,63
64,68,86
64,69,62
64,70,67
64,71,70
64,72,56
64,73,39
64,74,43
64,75,61
64,76,49
64,77,47
64,78,47
64,79,70
64,80,73
64,81,72
64,82,120
64,83,72
64,84,76
64,85,56
64,86,77
64,87,71
64,88,54
64,89,79
64,90,83
64,91,149
64,92,100
64,93,68
64,94,74
64,95,64
64,96,68
64,97,81
64,98,61
64,99,71
64,100,68
256,1,257
256,2,66
256,3,53
256,4,48
256,5,50
256,6,52
256,7,52
256,8,56
256,9,52
256,10,71
256,11,65
256,12,59
256,13,75
256,14,78
256,15,69
256,16,70
256,17,87
256,18,113
256,19,75
256,20,78
256,21,90
256,22,81
256,23,69
256,24,55
256,25,42
256,26,44
256,27,41
256,28,42
256,29,42
256,30,41
256,31,42
256,32,38
256,33,42
256,34,42
256,35,41
256,36,45
256,37,44
256,38,43
256,39,43
256,40,42
256,41,43
256,42,42
256,43,43
256,44,39
256,45,52
256,46,61
256,47,68
256,48,34
256,49,42
256,50,44
256,51,44
256,52,46
256,53,71
256,54,67
256,55,78
256,56,127
256,57,86
256,58,56
256,59,78
256,60,75
256,61,54
256,62,83
256,63,47
256,64,57
256,65,169
256,66,94
256,67,58
256,68,108
256,69,65
256,70,59
256,71,85
256,72,43
256,73,44
256,74,43
256,75,35
256,76,67
256,77,111
256,78,77
256,79,39
256,80,43
256,81,56
256,82,44
256,83,44
256,84,45
256,85,45
256,86,45
256,87,44
256,88,45
256,89,44
256,90,45
256,91,42
256,92,41
256,93,63
256,94,53
256,95,43
256,96,42
256,97,40
256,98,42
256,99,40
256,100,58
512,1,157
512,2,77
512,3,78
512,4,63
512,5,58
512,6,56
512,7,56
512,8,56
512,9,56
512,10,70
512,11,52
512,12,58
512,13,57
512,14,55
512,15,65
512,16,62
512,17,63
512,18,63
512,19,42
512,20,60
512,21,71
512,22,47
512,23,50
512,24,45
512,25,56
512,26,57
512,27,47
512,28,50
512,29,50
512,30,49
512,31,50
512,32,50
512,33,56
512,34,62
512,35,47
512,36,49
512,37,49
512,38,49
512,39,50
512,40,48
512,41,51
512,42,54
512,43,48
512,44,61
512,45,55
512,46,80
512,47,95
512,48,107
512,49,93
512,50,109
512,51,56
512,52,46
512,53,56
512,54,49
512,55,45
512,56,55
512,57,45
512,58,46
512,59,45
512,60,41
512,61,42
512,62,45
512,63,45
512,64,48
512,65,45
512,66,49
512,67,46
512,68,45
512,69,49
512,70,47
512,71,41
512,72,51
512,73,48
512,74,47
512,75,43
512,76,48
512,77,47
512,78,47
512,79,57
512,80,64
512,81,55
512,82,60
512,83,53
512,84,64
512,85,57
512,86,50
512,87,56
512,88,58
512,89,42
512,90,43
512,91,67
512,92,39
512,93,55
512,94,85
512,95,52
512,96,61
512,97,65
512,98,74
512,99,43
512,100,42
8,1,1391
8,2,88
8,3,104
8,4,51
8,5,44
8,6,43
8,7,44
8,8,43
8,9,41
8,10,49
8,11,95
8,12,67
8,13,109
8,14,53
8,15,47
8,16,57
8,17,56
8,18,63
8,19,45
8,20,44
8,21,48
8,22,49
8,23,44
8,24,43
8,25,57
8,26,44
8,27,58
8,28,45
8,29,43
8,30,44
8,31,47
8,32,47
8,33,43
8,34,58
8,35,49
8,36,70
8,37,94
8,38,82
8,39,86
8,40,142
8,41,175
8,42,174
8,43,121
8,44,73
8,45,67
8,46,66
8,47,63
8,48,83
8,49,64
8,50,62
8,51,68
8,52,96
8,53,72
8,54,69
8,55,69
8,56,62
8,57,85
8,58,83
8,59,63
8,60,90
8,61,101
8,62,94
8,63,107
8,64,82
8,65,64
8,66,110
8,67,85
8,68,74
8,69,74
8,70,62
8,71,62
8,72,60
8,73,78
8,74,104
8,75,70
8,76,72
8,77,61
8,78,50
8,79,40
8,80,147
8,81,96
8,82,69
8,83,65
8,84,76
8,85,70
8,86,48
8,87,68
8,88,49
8,89,50
8,90,47
8,91,41
8,92,66
8,93,56
8,94,93
8,95,100
8,96,82
8,97,80
8,98,76
8,99,65
8,100,56

Message Size,Throughput (Mbps)
64,389.01
256,1551.35
512,2553.45
8,3.73
