Message Size,Message Number,Latency (µs)
64,1,3
64,2,3
64,3,2
64,4,2
64,5,2
64,6,2
64,7,3
64,8,2
64,9,2
64,10,9
64,11,2
64,12,2
64,13,1
64,14,1
64,15,1
64,16,2
64,17,3
64,18,2
64,19,2
64,20,21
64,21,24
64,22,3
64,23,2
64,24,2
64,25,2
64,26,2
64,27,2
64,28,3
64,29,2
64,30,14
64,31,3
64,32,2
64,33,2
64,34,2
64,35,3
64,36,2
64,37,2
64,38,2
64,39,2
64,40,8
64,41,2
64,42,1
64,43,2
64,44,1
64,45,2
64,46,1
64,47,2
64,48,2
64,49,2
64,50,19
64,51,3
64,52,2
64,53,2
64,54,2
64,55,2
64,56,2
64,57,2
64,58,2
64,59,1
64,60,14
64,61,3
64,62,2
64,63,2
64,64,2
64,65,2
64,66,2
64,67,2
64,68,2
64,69,3
64,70,8
64,71,3
64,72,2
64,73,2
64,74,2
64,75,2
64,76,3
64,77,2
64,78,2
64,79,3
64,80,9
64,81,3
64,82,2
64,83,2
64,84,2
64,85,2
64,86,2
64,87,2
64,88,2
64,89,2
64,90,11
64,91,2
64,92,2
64,93,2
64,94,2
64,95,2
64,96,4
64,97,3
64,98,2
64,99,2
64,100,20
256,1,98
256,2,19
256,3,7
256,4,2
256,5,3
256,6,2
256,7,2
256,8,2
256,9,2
256,10,3
256,11,2
256,12,3
256,13,2
256,14,3
256,15,2
256,16,2
256,17,2
256,18,1
256,19,2
256,20,8
256,21,3
256,22,2
256,23,2
256,24,3
256,25,2
256,26,3
256,27,2
256,28,3
256,29,2
256,30,4
256,31,3
256,32,3
256,33,2
256,34,2
256,35,2
256,36,2
256,37,1
256,38,2
256,39,4
256,40,3
256,41,2
256,42,2
256,43,2
256,44,2
256,45,3
256,46,2
256,47,2
256,48,10
256,49,9
256,50,3
256,51,2
256,52,2
256,53,2
256,54,2
256,55,2
256,56,2
256,57,9
256,58,2
256,59,2
256,60,2
256,61,2
256,62,2
256,63,1
256,64,1
256,65,2
256,66,2
256,67,2
256,68,2
256,69,2
256,70,5
256,71,1
256,72,2
256,73,2
256,74,3
256,75,2
256,76,5
256,77,2
256,78,2
256,79,1
256,80,15
256,81,3
256,82,1
256,83,1
256,84,2
256,85,2
256,86,2
256,87,1
256,88,2
256,89,2
256,90,3
256,91,1
256,92,1
256,93,2
256,94,2
256,95,6
256,96,2
256,97,2
256,98,2
256,99,2
256,100,2
512,1,41
512,2,6
512,3,6
512,4,2
512,5,3
512,6,3
512,7,3
512,8,2
512,9,3
512,10,4
512,11,3
512,12,3
512,13,4
512,14,3
512,15,3
512,16,2
512,17,3
512,18,3
512,19,2
512,20,4
512,21,2
512,22,2
512,23,2
512,24,2
512,25,2
512,26,3
512,27,2
512,28,2
512,29,2
512,30,4
512,31,3
512,32,3
512,33,10
512,34,6
512,35,3
512,36,3
512,37,3
512,38,3
512,39,2
512,40,3
512,41,2
512,42,2
512,43,2
512,44,3
512,45,2
512,46,3
512,47,2
512,48,3
512,49,2
512,50,3
512,51,7
512,52,4
512,53,2
512,54,2
512,55,2
512,56,2
512,57,6
512,58,2
512,59,2
512,60,5
512,61,2
512,62,3
512,63,2
512,64,2
512,65,2
512,66,2
512,67,2
512,68,2
512,69,4
512,70,2
512,71,2
512,72,2
512,73,2
512,74,2
512,75,2
512,76,2
512,77,2
512,78,1
512,79,2
512,80,2
512,81,2
512,82,1
512,83,2
512,84,2
512,85,2
512,86,2
512,87,2
512,88,1
512,89,2
512,90,3
512,91,1
512,92,2
512,93,1
512,94,1
512,95,2
512,96,2
512,97,2
512,98,2
512,99,2
512,100,3
8,1,397
8,2,16
8,3,11
8,4,8
8,5,6
8,6,6
8,7,7
8,8,8
8,9,7
8,10,789
8,11,20
8,12,11
8,13,8
8,14,8
8,15,7
8,16,9
8,17,8
8,18,8
8,19,7
8,20,3459
8,21,21
8,22,9
8,23,8
8,24,19
8,25,8
8,26,8
8,27,6
8,28,8
8,29,7
8,30,1908
8,31,39
8,32,23
8,33,18
8,34,18
8,35,19
8,36,17
8,37,17
8,38,17
8,39,17
8,40,127
8,41,26
8,42,20
8,43,26
8,44,17
8,45,18
8,46,17
8,47,31
8,48,25
8,49,19
8,50,92
8,51,25
8,52,18
8,53,17
8,54,19
8,55,19
8,56,36
8,57,39
8,58,27
8,59,19
8,60,123
8,61,23
8,62,18
8,63,17
8,64,16
8,65,16
8,66,16
8,67,16
8,68,16
8,69,16
8,70,127
8,71,19
8,72,17
8,73,17
8,74,19
8,75,17
8,76,54
8,77,19
8,78,16
8,79,16
8,80,77
8,81,64
8,82,14
8,83,10
8,84,8
8,85,7
8,86,8
8,87,6
8,88,8
8,89,7
8,90,200
8,91,32
8,92,21
8,93,18
8,94,17
8,95,16
8,96,16
8,97,16
8,98,23
8,99,50
8,100,85

Message Size,Throughput (Mbps)
64,127.92
256,699.90
512,1745.73
8,11.75
