Message Size,Message Number,Latency (µs)
64,1,331
64,2,91
64,3,81
64,4,99
64,5,126
64,6,161
64,7,138
64,8,130
64,9,127
64,10,230
64,11,152
64,12,95
64,13,107
64,14,91
64,15,81
64,16,98
64,17,108
64,18,156
64,19,113
64,20,146
64,21,98
64,22,89
64,23,68
64,24,112
64,25,70
64,26,114
64,27,135
64,28,119
64,29,67
64,30,68
64,31,122
64,32,92
64,33,68
64,34,112
64,35,66
64,36,91
64,37,67
64,38,80
64,39,51
64,40,78
64,41,63
64,42,59
64,43,55
64,44,56
64,45,155
64,46,80
64,47,68
64,48,72
64,49,73
64,50,61
64,51,55
64,52,59
64,53,59
64,54,98
64,55,58
64,56,58
64,57,57
64,58,57
64,59,55
64,60,63
64,61,62
64,62,70
64,63,67
64,64,54
64,65,94
64,66,82
64,67,61
64,68,70
64,69,61
64,70,70
64,71,51
64,72,60
64,73,75
64,74,62
64,75,58
64,76,58
64,77,58
64,78,71
64,79,63
64,80,252
64,81,82
64,82,71
64,83,84
64,84,70
64,85,54
64,86,62
64,87,61
64,88,76
64,89,93
64,90,71
64,91,97
64,92,126
64,93,101
64,94,82
64,95,74
64,96,67
64,97,95
64,98,314
64,99,240
64,100,73
256,1,311
256,2,81
256,3,57
256,4,59
256,5,62
256,6,57
256,7,54
256,8,57
256,9,52
256,10,54
256,11,54
256,12,63
256,13,83
256,14,55
256,15,53
256,16,53
256,17,39
256,18,45
256,19,45
256,20,53
256,21,65
256,22,45
256,23,45
256,24,53
256,25,47
256,26,48
256,27,47
256,28,43
256,29,45
256,30,64
256,31,63
256,32,34
256,33,51
256,34,43
256,35,57
256,36,56
256,37,55
256,38,52
256,39,52
256,40,49
256,41,51
256,42,50
256,43,53
256,44,45
256,45,73
256,46,70
256,47,62
256,48,68
256,49,64
256,50,52
256,51,52
256,52,49
256,53,61
256,54,94
256,55,100
256,56,253
256,57,141
256,58,131
256,59,71
256,60,72
256,61,69
256,62,98
256,63,188
256,64,55
256,65,49
256,66,51
256,67,50
256,68,44
256,69,41
256,70,44
256,71,47
256,72,43
256,73,44
256,74,46
256,75,48
256,76,56
256,77,43
256,78,43
256,79,43
256,80,44
256,81,51
256,82,50
256,83,61
256,84,61
256,85,69
256,86,43
256,87,44
256,88,38
256,89,54
256,90,43
256,91,47
256,92,43
256,93,56
256,94,46
256,95,43
256,96,45
256,97,69
256,98,39
256,99,46
256,100,49
512,1,155
512,2,82
512,3,63
512,4,62
512,5,87
512,6,76
512,7,55
512,8,70
512,9,85
512,10,146
512,11,83
512,12,81
512,13,134
512,14,64
512,15,52
512,16,55
512,17,63
512,18,52
512,19,62
512,20,51
512,21,81
512,22,43
512,23,39
512,24,41
512,25,41
512,26,45
512,27,40
512,28,51
512,29,51
512,30,38
512,31,39
512,32,36
512,33,37
512,34,42
512,35,40
512,36,38
512,37,35
512,38,36
512,39,45
512,40,70
512,41,40
512,42,36
512,43,36
512,44,36
512,45,46
512,46,90
512,47,46
512,48,45
512,49,40
512,50,42
512,51,44
512,52,44
512,53,40
512,54,45
512,55,49
512,56,51
512,57,51
512,58,43
512,59,47
512,60,38
512,61,36
512,62,36
512,63,36
512,64,37
512,65,38
512,66,34
512,67,60
512,68,104
512,69,46
512,70,67
512,71,68
512,72,86
512,73,55
512,74,90
512,75,47
512,76,39
512,77,72
512,78,175
512,79,114
512,80,92
512,81,76
512,82,79
512,83,385
512,84,182
512,85,90
512,86,93
512,87,146
512,88,96
512,89,103
512,90,65
512,91,61
512,92,43
512,93,68
512,94,46
512,95,65
512,96,66
512,97,41
512,98,46
512,99,48
512,100,49
8,1,1261
8,2,71
8,3,68
8,4,53
8,5,68
8,6,64
8,7,64
8,8,64
8,9,63
8,10,62
8,11,68
8,12,81
8,13,70
8,14,78
8,15,66
8,16,52
8,17,48
8,18,44
8,19,46
8,20,56
8,21,97
8,22,130
8,23,106
8,24,88
8,25,146
8,26,124
8,27,152
8,28,98
8,29,52
8,30,50
8,31,80
8,32,60
8,33,47
8,34,50
8,35,46
8,36,43
8,37,46
8,38,49
8,39,58
8,40,53
8,41,65
8,42,74
8,43,54
8,44,40
8,45,36
8,46,37
8,47,42
8,48,44
8,49,59
8,50,61
8,51,103
8,52,77
8,53,88
8,54,64
8,55,87
8,56,74
8,57,64
8,58,71
8,59,46
8,60,69
8,61,111
8,62,110
8,63,148
8,64,244
8,65,70
8,66,65
8,67,47
8,68,62
8,69,72
8,70,127
8,71,70
8,72,65
8,73,63
8,74,74
8,75,67
8,76,57
8,77,72
8,78,65
8,79,78
8,80,95
8,81,92
8,82,74
8,83,53
8,84,50
8,85,58
8,86,38
8,87,40
8,88,37
8,89,42
8,90,63
8,91,53
8,92,69
8,93,71
8,94,69
8,95,166
8,96,67
8,97,65
8,98,64
8,99,59
8,100,34

Message Size,Throughput (Mbps)
64,420.77
256,1665.95
512,2896.20
8,3.69
