Message Size,Message Number,Latency (µs)
64,1,4
64,2,2
64,3,2
64,4,2
64,5,2
64,6,29
64,7,21
64,8,3
64,9,1
64,10,3
64,11,2
64,12,6
64,13,2
64,14,2
64,15,2
64,16,2
64,17,2
64,18,1
64,19,1
64,20,7
64,21,40
64,22,3
64,23,2
64,24,6
64,25,2
64,26,1
64,27,3
64,28,2
64,29,2
64,30,3
64,31,2
64,32,9
64,33,2
64,34,2
64,35,3
64,36,1
64,37,2
64,38,3
64,39,2
64,40,3
64,41,3
64,42,2
64,43,1
64,44,2
64,45,1
64,46,2
64,47,3
64,48,2
64,49,2
64,50,3
64,51,2
64,52,1
64,53,2
64,54,3
64,55,2
64,56,2
64,57,4
64,58,2
64,59,1
64,60,3
64,61,2
64,62,3
64,63,2
64,64,2
64,65,2
64,66,2
64,67,2
64,68,2
64,69,1
64,70,4
64,71,2
64,72,2
64,73,1
64,74,2
64,75,2
64,76,1
64,77,2
64,78,2
64,79,2
64,80,2
64,81,2
64,82,2
64,83,24
64,84,10
64,85,9
64,86,9
64,87,9
64,88,8
64,89,15
64,90,17
64,91,2
64,92,2
64,93,1
64,94,2
64,95,1
64,96,1
64,97,1
64,98,1
64,99,1
64,100,3
256,1,142
256,2,35
256,3,12
256,4,2
256,5,2
256,6,2
256,7,8
256,8,2
256,9,1
256,10,4
256,11,3
256,12,3
256,13,2
256,14,2
256,15,2
256,16,1
256,17,4
256,18,2
256,19,1
256,20,3
256,21,10
256,22,2
256,23,2
256,24,2
256,25,2
256,26,2
256,27,3
256,28,2
256,29,8
256,30,3
256,31,2
256,32,2
256,33,2
256,34,3
256,35,2
256,36,2
256,37,1
256,38,4
256,39,2
256,40,3
256,41,5
256,42,2
256,43,1
256,44,5
256,45,2
256,46,2
256,47,3
256,48,2
256,49,1
256,50,2
256,51,2
256,52,1
256,53,2
256,54,2
256,55,4
256,56,1
256,57,2
256,58,3
256,59,2
256,60,5
256,61,2
256,62,1
256,63,2
256,64,2
256,65,2
256,66,1
256,67,4
256,68,2
256,69,2
256,70,3
256,71,2
256,72,4
256,73,2
256,74,1
256,75,3
256,76,2
256,77,3
256,78,6
256,79,2
256,80,3
256,81,1
256,82,1
256,83,2
256,84,4
256,85,2
256,86,2
256,87,3
256,88,2
256,89,2
256,90,3
256,91,3
256,92,2
256,93,2
256,94,4
256,95,2
256,96,2
256,97,2
256,98,2
256,99,2
256,100,4
512,1,44
512,2,20
512,3,8
512,4,4
512,5,2
512,6,2
512,7,2
512,8,3
512,9,8
512,10,17
512,11,2
512,12,11
512,13,3
512,14,2
512,15,2
512,16,2
512,17,2
512,18,2
512,19,2
512,20,2
512,21,2
512,22,2
512,23,3
512,24,7
512,25,2
512,26,3
512,27,2
512,28,2
512,29,2
512,30,2
512,31,2
512,32,7
512,33,2
512,34,2
512,35,3
512,36,2
512,37,2
512,38,2
512,39,2
512,40,3
512,41,2
512,42,3
512,43,2
512,44,1
512,45,3
512,46,2
512,47,2
512,48,2
512,49,3
512,50,3
512,51,3
512,52,2
512,53,2
512,54,1
512,55,2
512,56,2
512,57,2
512,58,3
512,59,2
512,60,2
512,61,2
512,62,2
512,63,2
512,64,7
512,65,1
512,66,5
512,67,2
512,68,1
512,69,6
512,70,3
512,71,6
512,72,2
512,73,2
512,74,6
512,75,2
512,76,6
512,77,2
512,78,6
512,79,2
512,80,7
512,81,2
512,82,3
512,83,2
512,84,1
512,85,1
512,86,1
512,87,2
512,88,1
512,89,2
512,90,2
512,91,2
512,92,1
512,93,2
512,94,2
512,95,1
512,96,2
512,97,2
512,98,1
512,99,2
512,100,5
8,1,391
8,2,18
8,3,12
8,4,9
8,5,11
8,6,9
8,7,7
8,8,8
8,9,8
8,10,608
8,11,10
8,12,9
8,13,7
8,14,8
8,15,9
8,16,10
8,17,9
8,18,10
8,19,9
8,20,15
8,21,8
8,22,10
8,23,8
8,24,13
8,25,7
8,26,9
8,27,8
8,28,7
8,29,10
8,30,14
8,31,9
8,32,9
8,33,10
8,34,7
8,35,8
8,36,9
8,37,7
8,38,8
8,39,6
8,40,20
8,41,8
8,42,7
8,43,12
8,44,8
8,45,9
8,46,7
8,47,8
8,48,7
8,49,6
8,50,18
8,51,9
8,52,7
8,53,8
8,54,8
8,55,9
8,56,10
8,57,9
8,58,9
8,59,8
8,60,15
8,61,8
8,62,7
8,63,8
8,64,8
8,65,7
8,66,11
8,67,6
8,68,7
8,69,9
8,70,16
8,71,7
8,72,10
8,73,7
8,74,6
8,75,9
8,76,7
8,77,8
8,78,7
8,79,8
8,80,13
8,81,8
8,82,7
8,83,9
8,84,7
8,85,6
8,86,7
8,87,7
8,88,6
8,89,8
8,90,18
8,91,6
8,92,8
8,93,8
8,94,8
8,95,8
8,96,7
8,97,9
8,98,25
8,99,11
8,100,16

Message Size,Throughput (Mbps)
64,198.31
256,704.56
512,1383.02
8,21.44
