Message Size,Message Number,Latency (µs)
64,1,4152
64,2,3518
64,3,3306
64,4,4359
64,5,3278
64,6,3275
64,7,3227
64,8,3214
64,9,3176
64,10,3062
64,11,3127
64,12,3236
64,13,3438
64,14,3471
64,15,3365
64,16,3517
64,17,4410
64,18,3406
64,19,3370
64,20,3313
64,21,3141
64,22,3327
64,23,3404
64,24,3100
64,25,3403
64,26,3413
64,27,4260
64,28,3662
64,29,3378
64,30,3314
64,31,3392
64,32,3625
64,33,3426
64,34,2671
64,35,3385
64,36,3059
64,37,3498
64,38,3300
64,39,3012
64,40,3255
64,41,3535
64,42,3403
64,43,3455
64,44,3173
64,45,3431
64,46,9095
64,47,3219
64,48,3039
64,49,3381
64,50,3979
64,51,3260
64,52,3270
64,53,3409
64,54,3252
64,55,3116
64,56,3362
64,57,3287
64,58,3198
64,59,3174
64,60,3196
64,61,3194
64,62,4102
64,63,3668
64,64,3107
64,65,3398
64,66,3212
64,67,3936
64,68,3963
64,69,3676
64,70,3302
64,71,3257
64,72,3418
64,73,3395
64,74,6765
64,75,2966
64,76,3370
64,77,3124
64,78,3696
64,79,3316
64,80,3288
64,81,3147
64,82,3529
64,83,3350
64,84,3475
64,85,4109
64,86,3259
64,87,3263
64,88,3400
64,89,3389
64,90,3655
64,91,3341
64,92,3998
64,93,4020
64,94,3838
64,95,3501
64,96,3263
64,97,3654
64,98,3186
64,99,3279
64,100,3200
256,1,4452
256,2,4026
256,3,3413
256,4,3735
256,5,3833
256,6,3604
256,7,3423
256,8,3377
256,9,3268
256,10,3534
256,11,4828
256,12,3387
256,13,3291
256,14,3476
256,15,4228
256,16,4062
256,17,3750
256,18,3069
256,19,3481
256,20,3346
256,21,3379
256,22,3258
256,23,3321
256,24,3568
256,25,3548
256,26,3590
256,27,3388
256,28,14970
256,29,3212
256,30,4749
256,31,3436
256,32,3096
256,33,3211
256,34,2994
256,35,3096
256,36,4134
256,37,3035
256,38,3435
256,39,3165
256,40,4697
256,41,3369
256,42,2884
256,43,3458
256,44,3375
256,45,4379
256,46,3546
256,47,3806
256,48,3278
256,49,3512
256,50,3431
256,51,4130
256,52,3885
256,53,3277
256,54,3693
256,55,3514
256,56,4222
256,57,4108
256,58,3278
256,59,3513
256,60,3377
256,61,3264
256,62,3674
256,63,3422
256,64,3546
256,65,3356
256,66,3342
256,67,3429
256,68,3931
256,69,3416
256,70,3391
256,71,3334
256,72,3858
256,73,4012
256,74,3351
256,75,3846
256,76,3425
256,77,3367
256,78,3449
256,79,3449
256,80,3745
256,81,3271
256,82,3507
256,83,3188
256,84,3348
256,85,3430
256,86,3570
256,87,3445
256,88,4114
256,89,3396
256,90,3509
256,91,3413
256,92,3496
256,93,3223
256,94,3363
256,95,3331
256,96,4870
256,97,3030
256,98,3341
256,99,3326
256,100,3324
512,1,4313
512,2,4128
512,3,4207
512,4,3575
512,5,3473
512,6,3471
512,7,3413
512,8,3412
512,9,7087
512,10,3267
512,11,4001
512,12,4332
512,13,4160
512,14,3294
512,15,4355
512,16,3760
512,17,3282
512,18,4532
512,19,3549
512,20,3519
512,21,4778
512,22,4035
