Message Size,Message Number,Latency (µs)
64,1,21
64,2,14
64,3,474
64,4,15
64,5,1820
64,6,3218
64,7,18
64,8,14
64,9,11
64,10,11
64,11,11
64,12,17
64,13,18
64,14,13
64,15,10
64,16,16
64,17,14
64,18,4838
64,19,23
64,20,13
64,21,12
64,22,30
64,23,13
64,24,14
64,25,11
64,26,12
64,27,13
64,28,32
64,29,12
64,30,11
64,31,4844
64,32,24
64,33,15
64,34,47
64,35,15
64,36,12
64,37,12
64,38,11
64,39,12
64,40,11
64,41,12
64,42,12
64,43,11
64,44,11
64,45,5883
64,46,21
64,47,13
64,48,13
64,49,14
64,50,11
64,51,18
64,52,13
64,53,10
64,54,10
64,55,11
64,56,10
64,57,10
64,58,10
64,59,10
64,60,10
64,61,4872
64,62,30
64,63,15
64,64,253
64,65,30
64,66,16
64,67,14
64,68,12
64,69,11
64,70,11
64,71,12
64,72,11
64,73,11
64,74,11
64,75,12
64,76,11
64,77,10
64,78,2338
64,79,27
64,80,2207
64,81,32
64,82,13
64,83,12
64,84,12
64,85,12
64,86,12
64,87,12
64,88,12
64,89,12
64,90,19
64,91,15
64,92,18
64,93,13
64,94,11
64,95,11
64,96,11
64,97,11
64,98,752
64,99,1758
64,100,36
256,1,55
256,2,2762
256,3,21
256,4,15
256,5,12
256,6,14
256,7,12
256,8,12
256,9,11
256,10,10
256,11,11
256,12,11
256,13,11
256,14,11
256,15,11
256,16,11
256,17,114
256,18,21
256,19,14
256,20,3069
256,21,27
256,22,15
256,23,14
256,24,1556
256,25,20
256,26,13
256,27,1160
256,28,25
256,29,13
256,30,13
256,31,12
256,32,12
256,33,11
256,34,13
256,35,11
256,36,12
256,37,11
256,38,11
256,39,11
256,40,13
256,41,10
256,42,12
256,43,1711
256,44,21
256,45,12
256,46,12
256,47,11
256,48,12
256,49,12
256,50,514
256,51,3105
256,52,42
256,53,88
256,54,22
256,55,44
256,56,50
256,57,18
256,58,13
256,59,12
256,60,11
256,61,11
256,62,11
256,63,11
256,64,11
256,65,11
256,66,13
256,67,11
256,68,11
256,69,11
256,70,11
256,71,11
256,72,10
256,73,10
256,74,11
256,75,15
256,76,12
256,77,2128
256,78,2639
256,79,28
256,80,14
256,81,14
256,82,12
256,83,12
256,84,11
256,85,11
256,86,11
256,87,10
256,88,11
256,89,11
256,90,11
256,91,10
256,92,10
256,93,10
256,94,10
256,95,10
256,96,10
256,97,10
256,98,11
256,99,10
256,100,11
512,1,33
512,2,313
512,3,27
512,4,123
512,5,27
512,6,17
512,7,2398
512,8,33
512,9,2307
512,10,25
512,11,15
512,12,12
512,13,19
512,14,79
512,15,27
512,16,13
512,17,12
512,18,12
512,19,47
512,20,31
512,21,14
512,22,22
512,23,13
512,24,13
512,25,11
512,26,11
512,27,135
512,28,20
512,29,13
512,30,12
512,31,13
512,32,11
512,33,14
512,34,13
512,35,12
512,36,12
512,37,83
512,38,99
512,39,271
512,40,45
512,41,3669
512,42,48
512,43,16
512,44,16
512,45,12
512,46,13
512,47,13
512,48,12
512,49,11
512,50,18
512,51,12
512,52,19
512,53,12
512,54,12
512,55,11
512,56,11
512,57,12
512,58,12
512,59,11
512,60,11
512,61,11
512,62,1023
512,63,37
512,64,13
512,65,13
512,66,10
512,67,10
512,68,28
512,69,10
512,70,10
512,71,10
512,72,9
512,73,9
512,74,9
512,75,10
512,76,3254
512,77,25
512,78,15
512,79,14
512,80,1014
512,81,23
512,82,12
512,83,14
512,84,30
512,85,12
512,86,10
512,87,10
512,88,10
512,89,10
512,90,11
512,91,11
512,92,11
512,93,9
512,94,10
512,95,9
512,96,10
512,97,10
512,98,10
512,99,10
512,100,413
8,1,7830
8,2,3332
8,3,3105
8,4,2817
8,5,35
8,6,3658
8,7,32
8,8,3333
8,9,308
8,10,4113
8,11,30
8,12,3040
8,13,22
8,14,3095
8,15,38
8,16,24
8,17,3227
8,18,34
8,19,28
8,20,3128
8,21,30
8,22,19
8,23,5883
8,24,4425
8,25,33
8,26,24
8,27,19
8,28,4440
8,29,29
8,30,20
8,31,18
8,32,4569
8,33,34
8,34,18
8,35,19
8,36,4535
8,37,29
8,38,22
8,39,19
8,40,17
8,41,4503
8,42,25
8,43,16
8,44,20
8,45,18
8,46,4394
8,47,28
8,48,17
8,49,15
8,50,17
8,51,15
8,52,3365
8,53,34
8,54,909
8,55,23
8,56,16
8,57,14
8,58,2095
8,59,40
8,60,22
8,61,2518
8,62,35
8,63,21
8,64,27
8,65,4695
8,66,26
8,67,15
8,68,14
8,69,14
8,70,13
8,71,16
8,72,18
8,73,4595
8,74,22
8,75,15
8,76,13
8,77,14
8,78,14
8,79,13
8,80,13
8,81,2772
8,82,24
8,83,1592
8,84,29
8,85,16
8,86,20
8,87,14
8,88,13
8,89,13
8,90,1042
8,91,37
8,92,1698
8,93,26
8,94,3232
8,95,32
8,96,51
8,97,20
8,98,17
8,99,13
8,100,13

Message Size,Throughput (Mbps)
1024,49.79
512,56.73
256,48.48
