Message Size,Message Number,Latency (µs)
64,1,301
64,2,73
64,3,71
64,4,85
64,5,140
64,6,77
64,7,70
64,8,85
64,9,72
64,10,61
64,11,75
64,12,57
64,13,74
64,14,73
64,15,74
64,16,119
64,17,102
64,18,70
64,19,97
64,20,144
64,21,79
64,22,48
64,23,96
64,24,86
64,25,258
64,26,100
64,27,182
64,28,102
64,29,43
64,30,46
64,31,75
64,32,89
64,33,104
64,34,82
64,35,111
64,36,71
64,37,56
64,38,41
64,39,40
64,40,63
64,41,72
64,42,56
64,43,36
64,44,74
64,45,74
64,46,57
64,47,61
64,48,35
64,49,43
64,50,43
64,51,46
64,52,42
64,53,39
64,54,43
64,55,42
64,56,43
64,57,55
64,58,44
64,59,69
64,60,85
64,61,50
64,62,40
64,63,70
64,64,61
64,65,53
64,66,41
64,67,43
64,68,40
64,69,43
64,70,66
64,71,69
64,72,61
64,73,34
64,74,43
64,75,43
64,76,42
64,77,43
64,78,43
64,79,75
64,80,62
64,81,77
64,82,69
64,83,70
64,84,65
64,85,62
64,86,66
64,87,63
64,88,66
64,89,70
64,90,74
64,91,186
64,92,109
64,93,46
64,94,82
64,95,64
64,96,63
64,97,72
64,98,55
64,99,57
64,100,73
256,1,233
256,2,89
256,3,60
256,4,73
256,5,70
256,6,54
256,7,53
256,8,59
256,9,51
256,10,50
256,11,53
256,12,51
256,13,51
256,14,50
256,15,51
256,16,51
256,17,42
256,18,43
256,19,42
256,20,39
256,21,42
256,22,42
256,23,45
256,24,37
256,25,65
256,26,39
256,27,42
256,28,42
256,29,42
256,30,42
256,31,42
256,32,46
256,33,51
256,34,41
256,35,42
256,36,42
256,37,42
256,38,56
256,39,47
256,40,50
256,41,49
256,42,44
256,43,43
256,44,42
256,45,43
256,46,44
256,47,44
256,48,68
256,49,48
256,50,59
256,51,56
256,52,56
256,53,63
256,54,57
256,55,112
256,56,197
256,57,115
256,58,101
256,59,93
256,60,99
256,61,59
256,62,56
256,63,51
256,64,64
256,65,59
256,66,67
256,67,84
256,68,59
256,69,74
256,70,52
256,71,36
256,72,51
256,73,43
256,74,50
256,75,42
256,76,49
256,77,43
256,78,83
256,79,53
256,80,42
256,81,45
256,82,48
256,83,47
256,84,48
256,85,44
256,86,48
256,87,48
256,88,43
256,89,63
256,90,46
256,91,42
256,92,42
256,93,65
256,94,53
256,95,45
256,96,46
256,97,46
256,98,44
256,99,44
256,100,44
512,1,157
512,2,86
512,3,53
512,4,52
512,5,52
512,6,51
512,7,55
512,8,65
512,9,72
512,10,77
512,11,56
512,12,57
512,13,59
512,14,60
512,15,57
512,16,53
512,17,52
512,18,50
512,19,58
512,20,53
512,21,82
512,22,43
512,23,43
512,24,51
512,25,52
512,26,54
512,27,42
512,28,43
512,29,58
512,30,43
512,31,42
512,32,50
512,33,45
512,34,53
512,35,41
512,36,69
512,37,75
512,38,67
512,39,43
512,40,38
512,41,42
512,42,42
512,43,62
512,44,39
512,45,42
512,46,42
512,47,42
512,48,44
512,49,48
512,50,43
512,51,39
512,52,47
512,53,44
512,54,46
512,55,46
512,56,49
512,57,46
512,58,49
512,59,56
512,60,51
512,61,50
512,62,47
512,63,55
512,64,53
512,65,54
512,66,52
512,67,51
512,68,52
512,69,47
512,70,51
512,71,50
512,72,48
512,73,52
512,74,48
512,75,48
512,76,51
512,77,51
512,78,51
512,79,57
512,80,44
512,81,57
512,82,51
512,83,83
512,84,92
512,85,57
512,86,84
512,87,67
512,88,39
512,89,47
512,90,58
512,91,63
512,92,42
512,93,44
512,94,58
512,95,73
512,96,64
512,97,62
512,98,69
512,99,42
512,100,42
8,1,1537
8,2,190
8,3,107
8,4,82
8,5,74
8,6,67
8,7,76
8,8,74
8,9,71
8,10,67
8,11,76
8,12,91
8,13,104
8,14,146
8,15,66
8,16,75
8,17,65
8,18,62
8,19,65
8,20,67
8,21,76
8,22,72
8,23,129
8,24,107
8,25,84
8,26,73
8,27,68
8,28,64
8,29,66
8,30,87
8,31,74
8,32,80
8,33,66
8,34,71
8,35,87
8,36,84
8,37,99
8,38,85
8,39,54
8,40,82
8,41,102
8,42,81
8,43,118
8,44,63
8,45,61
8,46,83
8,47,49
8,48,53
8,49,49
8,50,52
8,51,88
8,52,87
8,53,78
8,54,75
8,55,107
8,56,91
8,57,77
8,58,113
8,59,78
8,60,191
8,61,108
8,62,90
8,63,246
8,64,140
8,65,138
8,66,78
8,67,77
8,68,69
8,69,48
8,70,52
8,71,55
8,72,63
8,73,57
8,74,75
8,75,44
8,76,35
8,77,36
8,78,44
8,79,50
8,80,68
8,81,89
8,82,68
8,83,61
8,84,56
8,85,40
8,86,67
8,87,79
8,88,55
8,89,45
8,90,61
8,91,44
8,92,57
8,93,67
8,94,77
8,95,128
8,96,73
8,97,65
8,98,84
8,99,88
8,100,75

Message Size,Throughput (Mbps)
64,385.89
256,1533.92
512,2672.63
8,3.80
