Message Size,Message Number,Latency (µs)
64,1,1119
64,2,201
64,3,187
64,4,174
64,5,154
64,6,156
64,7,287
64,8,227
64,9,149
64,10,135
64,11,136
64,12,134
64,13,158
64,14,137
64,15,137
64,16,141
64,17,137
64,18,158
64,19,201
64,20,147
64,21,149
64,22,124
64,23,155
64,24,133
64,25,152
64,26,151
64,27,285
64,28,352
64,29,148
64,30,132
64,31,159
64,32,125
64,33,118
64,34,149
64,35,125
64,36,149
64,37,123
64,38,114
64,39,120
64,40,161
64,41,129
64,42,156
64,43,121
64,44,118
64,45,131
64,46,151
64,47,136
64,48,110
64,49,110
64,50,153
64,51,111
64,52,111
64,53,112
64,54,127
64,55,110
64,56,112
64,57,125
64,58,109
64,59,109
64,60,109
64,61,116
64,62,209
64,63,232
64,64,99
64,65,106
64,66,96
64,67,95
64,68,103
64,69,106
64,70,134
64,71,95
64,72,96
64,73,106
64,74,100
64,75,128
64,76,95
64,77,96
64,78,93
64,79,119
64,80,113
64,81,97
64,82,96
64,83,96
64,84,96
64,85,101
64,86,103
64,87,102
64,88,103
64,89,116
64,90,97
64,91,95
64,92,239
64,93,101
64,94,96
64,95,101
64,96,96
64,97,107
64,98,99
64,99,97
64,100,95
256,1,906
256,2,158
256,3,134
256,4,131
256,5,146
256,6,132
256,7,149
256,8,154
256,9,149
256,10,159
256,11,155
256,12,150
256,13,174
256,14,148
256,15,154
256,16,179
256,17,150
256,18,148
256,19,149
256,20,149
256,21,146
256,22,154
256,23,148
256,24,148
256,25,147
256,26,158
256,27,149
256,28,148
256,29,152
256,30,148
256,31,148
256,32,148
256,33,148
256,34,147
256,35,149
256,36,148
256,37,147
256,38,148
256,39,148
256,40,148
256,41,148
256,42,156
256,43,165
256,44,155
256,45,147
256,46,147
256,47,148
256,48,149
256,49,147
256,50,163
256,51,154
256,52,149
256,53,147
256,54,147
256,55,151
256,56,380
256,57,169
256,58,184
256,59,171
256,60,192
256,61,174
256,62,152
256,63,152
256,64,158
256,65,154
256,66,169
256,67,153
256,68,263
256,69,167
256,70,149
256,71,149
256,72,149
256,73,149
256,74,276
256,75,210
256,76,189
256,77,143
256,78,122
256,79,162
256,80,165
256,81,119
256,82,122
256,83,158
256,84,143
256,85,142
256,86,142
256,87,115
256,88,138
256,89,129
256,90,129
256,91,150
256,92,144
256,93,143
256,94,124
256,95,119
256,96,142
256,97,118
256,98,127
256,99,135
256,100,143
512,1,696
512,2,235
512,3,203
512,4,157
512,5,161
512,6,146
512,7,152
512,8,163
512,9,153
512,10,241
512,11,205
512,12,148
512,13,151
512,14,154
512,15,144
512,16,163
512,17,129
512,18,170
512,19,231
512,20,212
512,21,163
512,22,144
512,23,146
512,24,163
512,25,129
512,26,179
512,27,144
512,28,130
512,29,154
512,30,135
512,31,138
512,32,218
512,33,183
512,34,199
512,35,175
512,36,138
512,37,156
512,38,172
512,39,152
512,40,162
512,41,151
512,42,191
512,43,146
512,44,162
512,45,148
512,46,148
512,47,132
512,48,134
512,49,137
512,50,173
512,51,164
512,52,150
512,53,137
512,54,154
512,55,164
512,56,150
512,57,189
512,58,173
512,59,136
512,60,137
512,61,140
512,62,161
512,63,140
512,64,163
512,65,136
512,66,168
512,67,141
512,68,144
512,69,150
512,70,144
512,71,165
512,72,145
512,73,139
512,74,187
512,75,141
512,76,144
512,77,151
512,78,137
512,79,154
512,80,140
512,81,133
512,82,135
512,83,160
512,84,184
512,85,146
512,86,130
512,87,203
512,88,137
512,89,124
512,90,603
512,91,223
512,92,126
512,93,152
512,94,129
512,95,124
512,96,178
512,97,124
512,98,159
512,99,296
512,100,222
8,1,3167
8,2,204
8,3,183
8,4,199
8,5,208
8,6,177
8,7,201
8,8,283
8,9,247
8,10,250
8,11,233
8,12,218
8,13,173
8,14,223
8,15,181
8,16,209
8,17,233
8,18,273
8,19,163
8,20,167
8,21,173
8,22,160
8,23,174
8,24,201
8,25,162
8,26,150
8,27,234
8,28,229
8,29,159
8,30,179
8,31,230
8,32,215
8,33,177
8,34,183
8,35,219
8,36,168
8,37,143
8,38,152
8,39,159
8,40,144
8,41,134
8,42,157
8,43,136
8,44,163
8,45,169
8,46,147
8,47,148
8,48,136
8,49,137
8,50,135
8,51,134
8,52,143
8,53,139
8,54,169
8,55,135
8,56,131
8,57,191
8,58,137
8,59,196
8,60,240
8,61,165
8,62,143
8,63,212
8,64,223
8,65,186
8,66,133
8,67,127
8,68,127
8,69,126
8,70,123
8,71,153
8,72,122
8,73,156
8,74,170
8,75,132
8,76,125
8,77,141
8,78,137
8,79,124
8,80,152
8,81,127
8,82,124
8,83,123
8,84,139
8,85,143
8,86,136
8,87,136
8,88,122
8,89,133
8,90,132
8,91,130
8,92,128
8,93,139
8,94,150
8,95,129
8,96,131
8,97,143
8,98,122
8,99,120
8,100,165

Message Size,Throughput (Mbps)
1024,53.00
512,34.01
256,20.35
