Message Size,Message Number,Latency (µs)
64,1,74
64,2,77
64,3,78
64,4,79
64,5,81
64,6,82
64,7,80
64,8,79
64,9,79
64,10,83
64,11,78
64,12,78
64,13,78
64,14,79
64,15,78
64,16,64
64,17,65
64,18,64
64,19,64
64,20,108
64,21,77
64,22,74
64,23,76
64,24,76
64,25,80
64,26,81
64,27,135
64,28,161
64,29,86
64,30,91
64,31,78
64,32,79
64,33,98
64,34,75
64,35,75
64,36,72
64,37,70
64,38,70
64,39,70
64,40,92
64,41,92
64,42,68
64,43,68
64,44,68
64,45,67
64,46,66
64,47,67
64,48,67
64,49,67
64,50,68
64,51,67
64,52,68
64,53,68
64,54,67
64,55,67
64,56,68
64,57,66
64,58,69
64,59,67
64,60,67
64,61,68
64,62,72
64,63,67
64,64,67
64,65,67
64,66,67
64,67,67
64,68,67
64,69,66
64,70,66
64,71,64
64,72,63
64,73,64
64,74,64
64,75,63
64,76,63
64,77,63
64,78,64
64,79,63
64,80,64
64,81,66
64,82,64
64,83,63
64,84,64
64,85,63
64,86,106
64,87,65
64,88,63
64,89,63
64,90,64
64,91,204
64,92,107
64,93,65
64,94,67
64,95,64
64,96,61
64,97,61
64,98,75
64,99,79
64,100,80
256,1,86
256,2,71
256,3,57
256,4,57
256,5,64
256,6,57
256,7,53
256,8,53
256,9,52
256,10,52
256,11,51
256,12,50
256,13,51
256,14,107
256,15,47
256,16,51
256,17,56
256,18,47
256,19,45
256,20,45
256,21,46
256,22,46
256,23,46
256,24,45
256,25,45
256,26,46
256,27,45
256,28,49
256,29,124
256,30,44
256,31,43
256,32,44
256,33,43
256,34,44
256,35,44
256,36,44
256,37,43
256,38,42
256,39,43
256,40,42
256,41,42
256,42,41
256,43,42
256,44,41
256,45,41
256,46,42
256,47,41
256,48,42
256,49,44
256,50,43
256,51,48
256,52,70
256,53,43
256,54,52
256,55,44
256,56,68
256,57,42
256,58,43
256,59,41
256,60,42
256,61,41
256,62,41
256,63,38
256,64,36
256,65,36
256,66,37
256,67,37
256,68,36
256,69,36
256,70,42
256,71,35
256,72,36
256,73,36
256,74,35
256,75,35
256,76,38
256,77,36
256,78,36
256,79,35
256,80,36
256,81,35
256,82,38
256,83,35
256,84,35
256,85,35
256,86,35
256,87,75
256,88,36
256,89,34
256,90,35
256,91,35
256,92,34
256,93,34
256,94,34
256,95,34
256,96,35
256,97,34
256,98,35
256,99,34
256,100,34
512,1,34
512,2,35
512,3,34
512,4,35
512,5,35
512,6,36
512,7,34
512,8,34
512,9,34
512,10,35
512,11,35
512,12,36
512,13,34
512,14,34
512,15,35
512,16,34
512,17,34
512,18,35
512,19,38
512,20,35
512,21,35
512,22,35
512,23,38
512,24,34
512,25,35
512,26,34
512,27,34
512,28,35
512,29,34
512,30,41
512,31,39
512,32,35
512,33,35
512,34,29
512,35,29
512,36,29
512,37,29
512,38,28
512,39,29
512,40,29
512,41,28
512,42,29
512,43,29
512,44,29
512,45,28
512,46,29
512,47,29
512,48,28
512,49,29
512,50,29
512,51,28
512,52,28
512,53,28
512,54,29
512,55,28
512,56,28
512,57,28
512,58,28
512,59,28
512,60,28
512,61,28
512,62,31
512,63,27
512,64,28
512,65,28
512,66,28
512,67,29
512,68,28
512,69,28
512,70,29
512,71,28
512,72,28
512,73,34
512,74,34
512,75,43
512,76,34
512,77,34
512,78,36
512,79,34
512,80,34
512,81,36
512,82,36
512,83,60
512,84,167
512,85,36
512,86,35
512,87,35
512,88,35
512,89,35
512,90,36
512,91,36
512,92,36
512,93,36
512,94,35
512,95,35
512,96,43
512,97,35
512,98,36
512,99,35
512,100,37
8,1,933
8,2,435
8,3,327
8,4,296
8,5,340
8,6,503
8,7,379
8,8,306
8,9,328
8,10,283
8,11,168
8,12,163
8,13,169
8,14,163
8,15,161
8,16,162
8,17,162
8,18,161
8,19,161
8,20,163
8,21,165
8,22,163
8,23,162
8,24,137
8,25,97
8,26,97
8,27,123
8,28,97
8,29,97
8,30,100
8,31,145
8,32,101
8,33,95
8,34,96
8,35,94
8,36,94
8,37,93
8,38,95
8,39,94
8,40,90
8,41,77
8,42,80
8,43,79
8,44,78
8,45,78
8,46,77
8,47,78
8,48,78
8,49,101
8,50,94
8,51,95
8,52,92
8,53,92
8,54,96
8,55,91
8,56,94
8,57,92
8,58,75
8,59,89
8,60,137
8,61,132
8,62,100
8,63,163
8,64,144
8,65,96
8,66,97
8,67,94
8,68,101
8,69,96
8,70,87
8,71,84
8,72,82
8,73,84
8,74,83
8,75,82
8,76,80
8,77,82
8,78,82
8,79,82
8,80,83
8,81,82
8,82,81
8,83,83
8,84,82
8,85,97
8,86,81
8,87,79
8,88,79
8,89,79
8,90,79
8,91,78
8,92,78
8,93,79
8,94,84
8,95,79
8,96,79
8,97,78
8,98,76
8,99,77
8,100,97

Message Size,Throughput (Mbps)
1024,423194290.02
512,265358452.79
256,168658171.97
