Message Size,Message Number,Latency (µs)
64,1,1143
64,2,412
64,3,537
64,4,441
64,5,536
64,6,422
64,7,557
64,8,384
64,9,605
64,10,364
64,11,534
64,12,465
64,13,537
64,14,406
64,15,500
64,16,493
64,17,487
64,18,534
64,19,536
64,20,459
64,21,422
64,22,493
64,23,511
64,24,485
64,25,493
64,26,514
64,27,470
64,28,1001
64,29,426
64,30,553
64,31,442
64,32,426
64,33,554
64,34,507
64,35,457
64,36,462
64,37,511
64,38,458
64,39,472
64,40,460
64,41,493
64,42,468
64,43,548
64,44,479
64,45,492
64,46,475
64,47,475
64,48,526
64,49,407
64,50,416
64,51,242
64,52,237
64,53,234
64,54,382
64,55,487
64,56,487
64,57,504
64,58,456
64,59,494
64,60,521
64,61,449
64,62,432
64,63,505
64,64,455
64,65,545
64,66,477
64,67,501
64,68,490
64,69,424
64,70,562
64,71,442
64,72,496
64,73,407
64,74,295
64,75,500
64,76,513
64,77,469
64,78,509
64,79,446
64,80,493
64,81,489
64,82,512
64,83,411
64,84,470
64,85,511
64,86,415
64,87,269
64,88,218
64,89,246
64,90,184
64,91,433
64,92,455
64,93,533
64,94,469
64,95,463
64,96,501
64,97,442
64,98,502
64,99,427
64,100,462
256,1,840
256,2,375
256,3,591
256,4,304
256,5,355
256,6,392
256,7,299
256,8,323
256,9,299
256,10,216
256,11,387
256,12,322
256,13,299
256,14,343
256,15,309
256,16,306
256,17,318
256,18,397
256,19,306
256,20,330
256,21,404
256,22,375
256,23,323
256,24,393
256,25,387
256,26,405
256,27,430
256,28,343
256,29,406
256,30,340
256,31,398
256,32,364
256,33,387
256,34,435
256,35,386
256,36,422
256,37,447
256,38,309
256,39,376
256,40,371
256,41,378
256,42,326
256,43,322
256,44,296
256,45,405
256,46,386
256,47,417
256,48,401
256,49,390
256,50,368
256,51,321
256,52,280
256,53,393
256,54,356
256,55,281
256,56,758
256,57,432
256,58,417
256,59,380
256,60,454
256,61,429
256,62,409
256,63,451
256,64,489
256,65,446
256,66,460
256,67,436
256,68,408
256,69,414
256,70,339
256,71,324
256,72,280
256,73,336
256,74,341
256,75,406
256,76,400
256,77,404
256,78,369
256,79,324
256,80,375
256,81,300
256,82,365
256,83,413
256,84,346
256,85,372
256,86,378
256,87,382
256,88,301
256,89,374
256,90,329
256,91,337
256,92,413
256,93,278
256,94,376
256,95,382
256,96,404
256,97,312
256,98,392
256,99,385
256,100,422
512,1,728
512,2,669
512,3,493
512,4,404
512,5,295
512,6,486
512,7,418
512,8,373
512,9,352
512,10,435
512,11,474
512,12,468
512,13,413
512,14,468
512,15,415
512,16,344
512,17,653
512,18,462
512,19,516
512,20,473
512,21,485
512,22,414
512,23,467
512,24,348
512,25,292
512,26,449
512,27,389
512,28,332
512,29,347
512,30,681
512,31,500
512,32,487
512,33,457
512,34,547
512,35,465
512,36,463
512,37,496
512,38,398
512,39,347
512,40,388
512,41,322
512,42,512
512,43,483
512,44,452
512,45,484
512,46,480
512,47,455
512,48,485
512,49,301
512,50,477
512,51,572
512,52,332
512,53,396
512,54,373
512,55,279
512,56,458
512,57,323
512,58,386
512,59,318
512,60,392
512,61,382
512,62,388
512,63,280
512,64,440
512,65,279
512,66,395
512,67,465
512,68,456
512,69,448
512,70,461
512,71,463
512,72,449
512,73,393
512,74,346
512,75,385
512,76,380
512,77,435
512,78,474
512,79,297
512,80,441
512,81,452
512,82,381
512,83,479
512,84,477
512,85,390
512,86,458
512,87,375
512,88,455
512,89,366
512,90,436
512,91,333
512,92,307
512,93,434
512,94,291
512,95,419
512,96,318
512,97,314
512,98,430
512,99,424
512,100,366
8,1,3668
8,2,506
8,3,366
8,4,320
8,5,287
8,6,523
8,7,255
8,8,306
8,9,377
8,10,302
8,11,483
8,12,353
8,13,345
8,14,231
8,15,319
8,16,383
8,17,318
8,18,418
8,19,323
8,20,373
8,21,369
8,22,347
8,23,373
8,24,337
8,25,341
8,26,411
8,27,258
8,28,314
8,29,205
8,30,395
8,31,369
8,32,356
8,33,370
8,34,673
8,35,382
8,36,338
8,37,355
8,38,313
8,39,309
8,40,333
8,41,303
8,42,343
8,43,320
8,44,312
8,45,307
8,46,411
8,47,361
8,48,307
8,49,281
8,50,227
8,51,382
8,52,465
8,53,411
8,54,443
8,55,306
8,56,280
8,57,236
8,58,342
8,59,434
8,60,321
8,61,295
8,62,312
8,63,394
8,64,478
8,65,387
8,66,276
8,67,213
8,68,388
8,69,348
8,70,273
8,71,222
8,72,278
8,73,304
8,74,317
8,75,368
8,76,347
8,77,309
8,78,299
8,79,191
8,80,424
8,81,365
8,82,363
8,83,321
8,84,217
8,85,420
8,86,369
8,87,372
8,88,324
8,89,212
8,90,411
8,91,306
8,92,291
8,93,211
8,94,402
8,95,367
8,96,203
8,97,422
8,98,360
8,99,399
8,100,320

Message Size,Throughput (Mbps)
1024,11.26
512,11.45
256,7.14
