Message Size,Message Number,Latency (µs)
64,1,37
64,2,39
64,3,32
64,4,30
64,5,107
64,6,32
64,7,31
64,8,39
64,9,102
64,10,32
64,11,39
64,12,108
64,13,32
64,14,98
64,15,76
64,16,77
64,17,34
64,18,84
64,19,80
64,20,86
64,21,35
64,22,36
64,23,33
64,24,34
64,25,36
64,26,37
64,27,91
64,28,104
64,29,41
64,30,44
64,31,34
64,32,32
64,33,31
64,34,34
64,35,32
64,36,32
64,37,43
64,38,32
64,39,35
64,40,46
64,41,32
64,42,50
64,43,46
64,44,62
64,45,30
64,46,30
64,47,28
64,48,28
64,49,30
64,50,27
64,51,28
64,52,28
64,53,29
64,54,28
64,55,28
64,56,27
64,57,30
64,58,28
64,59,39
64,60,28
64,61,28
64,62,52
64,63,29
64,64,46
64,65,30
64,66,38
64,67,29
64,68,29
64,69,45
64,70,30
64,71,44
64,72,30
64,73,43
64,74,78
64,75,29
64,76,28
64,77,41
64,78,66
64,79,76
64,80,29
64,81,32
64,82,30
64,83,28
64,84,45
64,85,44
64,86,28
64,87,28
64,88,28
64,89,27
64,90,46
64,91,154
64,92,59
64,93,31
64,94,30
64,95,29
64,96,32
64,97,41
64,98,55
64,99,36
64,100,28
256,1,60
256,2,32
256,3,29
256,4,37
256,5,29
256,6,27
256,7,27
256,8,29
256,9,26
256,10,25
256,11,25
256,12,28
256,13,35
256,14,25
256,15,25
256,16,25
256,17,72
256,18,35
256,19,25
256,20,23
256,21,25
256,22,90
256,23,124
256,24,67
256,25,45
256,26,26
256,27,25
256,28,25
256,29,25
256,30,36
256,31,24
256,32,24
256,33,36
256,34,50
256,35,125
256,36,25
256,37,43
256,38,25
256,39,23
256,40,23
256,41,24
256,42,23
256,43,23
256,44,34
256,45,26
256,46,28
256,47,25
256,48,29
256,49,26
256,50,32
256,51,30
256,52,133
256,53,24
256,54,27
256,55,34
256,56,266
256,57,21
256,58,20
256,59,21
256,60,19
256,61,22
256,62,19
256,63,19
256,64,21
256,65,22
256,66,19
256,67,21
256,68,21
256,69,21
256,70,21
256,71,29
256,72,20
256,73,20
256,74,20
256,75,32
256,76,24
256,77,21
256,78,21
256,79,32
256,80,21
256,81,23
256,82,21
256,83,21
256,84,22
256,85,21
256,86,33
256,87,20
256,88,20
256,89,20
256,90,20
256,91,20
256,92,23
256,93,20
256,94,20
256,95,25
256,96,61
256,97,21
256,98,19
256,99,19
256,100,56
512,1,27
512,2,20
512,3,20
512,4,19
512,5,18
512,6,19
512,7,19
512,8,18
512,9,18
512,10,26
512,11,19
512,12,19
512,13,18
512,14,20
512,15,19
512,16,22
512,17,47
512,18,19
512,19,20
512,20,18
512,21,20
512,22,21
512,23,18
512,24,19
512,25,18
512,26,18
512,27,18
512,28,18
512,29,18
512,30,18
512,31,18
512,32,18
512,33,31
512,34,18
512,35,18
512,36,18
512,37,18
512,38,18
512,39,66
512,40,19
512,41,18
512,42,18
512,43,25
512,44,17
512,45,28
512,46,28
512,47,78
512,48,20
512,49,41
512,50,56
512,51,22
512,52,18
512,53,50
512,54,32
512,55,55
512,56,19
512,57,35
512,58,28
512,59,35
512,60,373
512,61,139
512,62,34
512,63,19
512,64,28
512,65,42
512,66,19
512,67,36
512,68,19
512,69,38
512,70,47
512,71,27
512,72,20
512,73,28
512,74,19
512,75,20
512,76,21
512,77,18
512,78,20
512,79,35
512,80,20
512,81,22
512,82,28
512,83,18
512,84,119
512,85,21
512,86,18
512,87,18
512,88,18
512,89,18
512,90,17
512,91,17
512,92,17
512,93,17
512,94,17
512,95,19
512,96,17
512,97,17
512,98,25
512,99,17
512,100,17
8,1,1411
8,2,412
8,3,332
8,4,358
8,5,308
8,6,300
8,7,182
8,8,233
8,9,282
8,10,324
8,11,55
8,12,104
8,13,293
8,14,42
8,15,394
8,16,60
8,17,342
8,18,71
8,19,303
8,20,100
8,21,68
8,22,46
8,23,40
8,24,314
8,25,45
8,26,57
8,27,106
8,28,407
8,29,51
8,30,37
8,31,100
8,32,323
8,33,64
8,34,62
8,35,74
8,36,37
8,37,105
8,38,75
8,39,81
8,40,130
8,41,64
8,42,41
8,43,100
8,44,37
8,45,37
8,46,37
8,47,97
8,48,85
8,49,87
8,50,85
8,51,72
8,52,85
8,53,73
8,54,93
8,55,39
8,56,37
8,57,64
8,58,39
8,59,102
8,60,200
8,61,43
8,62,84
8,63,95
8,64,257
8,65,43
8,66,48
8,67,44
8,68,37
8,69,33
8,70,32
8,71,31
8,72,32
8,73,31
8,74,81
8,75,78
8,76,34
8,77,50
8,78,32
8,79,32
8,80,32
8,81,81
8,82,34
8,83,34
8,84,220
8,85,62
8,86,70
8,87,44
8,88,33
8,89,38
8,90,36
8,91,33
8,92,33
8,93,31
8,94,52
8,95,70
8,96,76
8,97,32
8,98,96
8,99,34
8,100,32

Message Size,Throughput (Mbps)
1024,106.66
512,90.56
256,79.96
