Message Size,Message Number,Latency (µs)
64,1,2
64,2,3
64,3,2
64,4,9
64,5,2
64,6,2
64,7,3
64,8,2
64,9,2
64,10,10
64,11,3
64,12,2
64,13,2
64,14,1
64,15,2
64,16,2
64,17,2
64,18,2
64,19,3
64,20,8
64,21,18
64,22,3
64,23,2
64,24,3
64,25,1
64,26,2
64,27,2
64,28,3
64,29,2
64,30,15
64,31,2
64,32,1
64,33,2
64,34,2
64,35,2
64,36,2
64,37,2
64,38,2
64,39,2
64,40,9
64,41,3
64,42,2
64,43,2
64,44,1
64,45,2
64,46,1
64,47,1
64,48,1
64,49,2
64,50,7
64,51,3
64,52,2
64,53,1
64,54,2
64,55,2
64,56,3
64,57,7
64,58,2
64,59,3
64,60,15
64,61,3
64,62,1
64,63,1
64,64,1
64,65,1
64,66,2
64,67,2
64,68,1
64,69,2
64,70,22
64,71,3
64,72,2
64,73,2
64,74,2
64,75,2
64,76,2
64,77,2
64,78,2
64,79,2
64,80,14
64,81,2
64,82,1
64,83,2
64,84,1
64,85,1
64,86,2
64,87,1
64,88,1
64,89,2
64,90,11
64,91,3
64,92,1
64,93,1
64,94,1
64,95,1
64,96,1
64,97,2
64,98,1
64,99,2
64,100,19
256,1,102
256,2,27
256,3,10
256,4,2
256,5,2
256,6,2
256,7,3
256,8,2
256,9,2
256,10,4
256,11,2
256,12,2
256,13,2
256,14,2
256,15,3
256,16,2
256,17,2
256,18,3
256,19,3
256,20,3
256,21,4
256,22,2
256,23,2
256,24,3
256,25,2
256,26,9
256,27,2
256,28,2
256,29,3
256,30,3
256,31,2
256,32,2
256,33,3
256,34,2
256,35,3
256,36,3
256,37,2
256,38,2
256,39,2
256,40,2
256,41,8
256,42,2
256,43,2
256,44,1
256,45,2
256,46,2
256,47,1
256,48,1
256,49,2
256,50,2
256,51,4
256,52,2
256,53,2
256,54,7
256,55,2
256,56,2
256,57,4
256,58,3
256,59,3
256,60,3
256,61,3
256,62,2
256,63,3
256,64,2
256,65,2
256,66,2
256,67,2
256,68,2
256,69,2
256,70,3
256,71,2
256,72,2
256,73,5
256,74,12
256,75,4
256,76,3
256,77,2
256,78,1
256,79,1
256,80,3
256,81,2
256,82,2
256,83,2
256,84,2
256,85,1
256,86,1
256,87,2
256,88,1
256,89,3
256,90,14
256,91,2
256,92,2
256,93,2
256,94,2
256,95,2
256,96,2
256,97,2
256,98,3
256,99,2
256,100,11
512,1,32
512,2,9
512,3,7
512,4,3
512,5,2
512,6,2
512,7,3
512,8,3
512,9,3
512,10,4
512,11,2
512,12,2
512,13,2
512,14,2
512,15,2
512,16,2
512,17,2
512,18,2
512,19,2
512,20,4
512,21,2
512,22,3
512,23,3
512,24,3
512,25,2
512,26,2
512,27,3
512,28,2
512,29,3
512,30,4
512,31,2
512,32,2
512,33,2
512,34,2
512,35,2
512,36,2
512,37,2
512,38,2
512,39,2
512,40,3
512,41,3
512,42,3
512,43,3
512,44,3
512,45,14
512,46,3
512,47,3
512,48,2
512,49,2
512,50,3
512,51,3
512,52,2
512,53,2
512,54,2
512,55,3
512,56,2
512,57,2
512,58,2
512,59,3
512,60,3
512,61,3
512,62,3
512,63,3
512,64,2
512,65,2
512,66,2
512,67,8
512,68,3
512,69,3
512,70,3
512,71,2
512,72,2
512,73,3
512,74,2
512,75,2
512,76,3
512,77,2
512,78,3
512,79,1
512,80,2
512,81,2
512,82,2
512,83,1
512,84,2
512,85,2
512,86,2
512,87,7
512,88,3
512,89,2
512,90,5
512,91,2
512,92,2
512,93,1
512,94,2
512,95,4
512,96,2
512,97,1
512,98,2
512,99,10
512,100,3
8,1,384
8,2,17
8,3,13
8,4,9
8,5,8
8,6,9
8,7,8
8,8,12
8,9,7
8,10,953
8,11,27
8,12,13
8,13,8
8,14,9
8,15,7
8,16,9
8,17,8
8,18,7
8,19,9
8,20,103
8,21,116
8,22,10
8,23,6
8,24,13
8,25,6
8,26,8
8,27,7
8,28,13
8,29,7
8,30,128
8,31,36
8,32,23
8,33,19
8,34,19
8,35,19
8,36,18
8,37,31
8,38,19
8,39,10
8,40,107
8,41,25
8,42,18
8,43,49
8,44,18
8,45,18
8,46,17
8,47,17
8,48,17
8,49,18
8,50,61
8,51,29
8,52,51
8,53,21
8,54,22
8,55,20
8,56,24
8,57,19
8,58,18
8,59,19
8,60,86
8,61,20
8,62,17
8,63,17
8,64,17
8,65,17
8,66,17
8,67,17
8,68,17
8,69,17
8,70,66
8,71,22
8,72,19
8,73,25
8,74,17
8,75,18
8,76,17
8,77,17
8,78,17
8,79,17
8,80,58
8,81,18
8,82,17
8,83,17
8,84,16
8,85,17
8,86,33
8,87,28
8,88,20
8,89,19
8,90,77
8,91,57
8,92,32
8,93,18
8,94,18
8,95,37
8,96,21
8,97,41
8,98,26
8,99,12
8,100,69

Message Size,Throughput (Mbps)
64,135.83
256,716.18
512,1746.76
8,13.77
